DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\urllib3\util\request.py first seen with mtime 1727300770.1866188
DEBUG 2024-10-16 15:58:54,624 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1727298291.3830335
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\utils\__init__.py first seen with mtime 1727298294.6635966
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\pygments\filter.py first seen with mtime 1727301353.8001888
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\rest_framework\status.py first seen with mtime 1727298361.5532942
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\DLLs\_ctypes.pyd first seen with mtime 1717692902.0
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\jinja2\__init__.py first seen with mtime 1727300772.5344617
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\rest_framework\templatetags\rest_framework.py first seen with mtime 1727298361.918664
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\core\checks\database.py first seen with mtime 1727298294.2454557
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\http\cookie.py first seen with mtime 1727298294.5905995
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\apps\config.py first seen with mtime 1727298289.7040303
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\zipfile\_path\__init__.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\asyncio\queues.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\drf_spectacular\apps.py first seen with mtime 1729004022.2304575
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\jinja2\nodes.py first seen with mtime 1727300772.563982
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1727298294.7329376
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1727298294.6969295
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\contrib\postgres\fields\hstore.py first seen with mtime 1727298293.0587132
DEBUG 2024-10-16 15:58:54,625 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\unittest\mock.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django_extensions\apps.py first seen with mtime 1727298363.9466136
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1254.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1727298294.3354726
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\rest_framework\fields.py first seen with mtime 1727298361.532452
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\db\__init__.py first seen with mtime 1727298294.3414733
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\db\models\constants.py first seen with mtime 1727298294.4351678
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\asyncio\coroutines.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1727298291.0781953
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1727300771.4868722
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1727298294.6686065
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1727298294.4411027
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_tasks.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\unittest\signals.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,626 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django_extensions\models.py first seen with mtime 1727298363.950616
DEBUG 2024-10-16 15:58:54,627 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1727298294.7239335
DEBUG 2024-10-16 15:58:54,628 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\coreapi\compat.py first seen with mtime 1727300773.802555
DEBUG 2024-10-16 15:58:54,628 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1727298291.0728908
DEBUG 2024-10-16 15:58:54,628 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\template\smartif.py first seen with mtime 1727298294.6242504
DEBUG 2024-10-16 15:58:54,628 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\importlib\_abc.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,629 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\coreschema\encodings\html.py first seen with mtime 1727300773.5276332
DEBUG 2024-10-16 15:58:54,629 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\utils\tree.py first seen with mtime 1727298294.7059343
DEBUG 2024-10-16 15:58:54,629 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,629 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1727298294.2133932
DEBUG 2024-10-16 15:58:54,630 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\xml\dom\xmlbuilder.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,630 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\utils\version.py first seen with mtime 1727298294.7069347
DEBUG 2024-10-16 15:58:54,630 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1727298294.4291701
DEBUG 2024-10-16 15:58:54,630 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1727298294.3464746
DEBUG 2024-10-16 15:58:54,630 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1727298294.3485272
DEBUG 2024-10-16 15:58:54,631 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\copy.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,631 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1727298294.3554747
DEBUG 2024-10-16 15:58:54,631 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\core\news\admin.py first seen with mtime 1727299242.2755437
DEBUG 2024-10-16 15:58:54,631 autoreload File C:\Users\jettg\AppData\Local\Programs\Python\Python312\Lib\queue.py first seen with mtime 1717692852.0
DEBUG 2024-10-16 15:58:54,631 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1727298291.3772726
DEBUG 2024-10-16 15:58:54,631 autoreload File C:\Users\jettg\Desktop\my_news_app_rest_api\renv\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1727298291.3817947
